Processes,AvgLatency(us),MinLatency,MaxLatency,Iterations
2,0.30,0.30,0.30,1000
4,0.46,0.46,0.46,1000
8,1.15,1.15,1.15,1000
16,2.23,2.22,2.23,1000
32,4.70,4.68,4.70,1000
64,15.32,15.32,15.32,1000
128,33.21,33.19,33.22,1000
256,104.30,104.27,104.31,1000
