Processes,Size,AvgLatency(us),MinLatency,MaxLatency,Iterations
3,1,0.28,0.13,0.41,1000
7,1,0.52,0.21,0.70,1000
15,1,1.34,0.36,1.98,1000
31,1,2.03,0.46,2.85,1000
63,1,2.92,0.43,4.16,1000
127,1,3.73,0.68,4.97,1000
255,1,17.83,0.37,36.59,1000
