Processes,AvgLatency(us),MinLatency,MaxLatency,Iterations
2,0.28,0.28,0.28,1000
4,0.60,0.60,0.60,1000
8,1.42,1.42,1.42,1000
16,2.26,2.26,2.26,1000
32,3.28,3.27,3.28,1000
64,4.27,4.25,4.27,1000
128,5.63,5.60,5.63,1000
256,10.59,10.57,10.59,1000
