Processes: 2

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
16384                  86.42              9.58            162.59        1000
32768                 125.44             14.56            232.89        1000
65536                 217.50             36.34            396.88        1000
131072                404.71             87.31            722.15        1000
262144                809.40            192.07           1421.20        1000
524288               1639.76            406.91           2870.23        1000
1048576              3273.11            803.95           5693.74        1000
====================
Processes: 256

# OSU MPI Broadcast Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1                       8.39              0.22             20.07        1000
2                       7.89              0.22             18.86        1000
4                       7.13              0.22             15.66        1000
8                       8.19              0.22             21.64        1000
16                      8.30              0.22             20.11        1000
32                      7.85              0.22             17.69        1000
64                      7.86              0.24             19.34        1000
128                    10.66              0.32             22.13        1000
256                    11.20              0.33             23.14        1000
512                    13.00              0.35             26.65        1000
1024                   15.08              0.39             31.56        1000
2048                   19.55              0.50             40.44        1000
4096                   27.11              0.68             55.13        1000
8192                   42.64              0.98             94.53        1000
16384                 143.56              9.13            282.68        1000
32768                 214.84             14.69            421.63        1000
65536                 370.46             24.23            723.33        1000
131072                674.35             44.71           1331.88        1000
262144               1345.77             96.68           2619.54        1000
524288               2715.66            217.55           5239.12        1000
1048576              5497.69            525.59          10474.27        1000
====================
