Processes,Size,AvgLatency(us),MinLatency,MaxLatency,Iterations
2,1,0.16,0.09,0.22,1000
4,1,0.18,0.14,0.22,1000
8,1,0.82,0.50,1.19,1000
16,1,1.22,0.85,1.71,1000
32,1,1.67,0.84,2.49,1000
64,1,1.67,1.31,2.66,1000
128,1,2.54,1.75,4.04,1000
256,1,1.06,0.54,2.18,1000
